,URL,repo,head_repo_size,base_repo_size
74,https://api.github.com/repos/uber/react-vis/pulls/1428,react-vis,94752.0,94748
75,https://api.github.com/repos/uber/react-vis/pulls/1427,react-vis,94748.0,94748
76,https://api.github.com/repos/uber/react-vis/pulls/1416,react-vis,94748.0,94748
77,https://api.github.com/repos/uber/react-vis/pulls/1415,react-vis,94748.0,94748
78,https://api.github.com/repos/uber/react-vis/pulls/1414,react-vis,94748.0,94748
79,https://api.github.com/repos/uber/react-vis/pulls/1412,react-vis,93850.0,94748
80,https://api.github.com/repos/uber/react-vis/pulls/1410,react-vis,93856.0,94748
81,https://api.github.com/repos/uber/react-vis/pulls/1409,react-vis,93851.0,94748
82,https://api.github.com/repos/uber/react-vis/pulls/1407,react-vis,94748.0,94748
83,https://api.github.com/repos/uber/react-vis/pulls/1404,react-vis,94748.0,94748
84,https://api.github.com/repos/uber/react-vis/pulls/1399,react-vis,93404.0,94748
85,https://api.github.com/repos/uber/react-vis/pulls/1392,react-vis,93404.0,94748
86,https://api.github.com/repos/uber/react-vis/pulls/1388,react-vis,94748.0,94748
87,https://api.github.com/repos/uber/react-vis/pulls/1379,react-vis,93176.0,94748
88,https://api.github.com/repos/uber/react-vis/pulls/1354,react-vis,93296.0,94748
89,https://api.github.com/repos/uber/react-vis/pulls/1352,react-vis,93296.0,94748
90,https://api.github.com/repos/uber/react-vis/pulls/1348,react-vis,93296.0,94748
91,https://api.github.com/repos/uber/react-vis/pulls/1343,react-vis,94748.0,94748
92,https://api.github.com/repos/uber/react-vis/pulls/1333,react-vis,17807.0,94748
93,https://api.github.com/repos/uber/react-vis/pulls/1314,react-vis,93296.0,94748
94,https://api.github.com/repos/uber/react-vis/pulls/1301,react-vis,93171.0,94748
95,https://api.github.com/repos/uber/react-vis/pulls/1295,react-vis,93154.0,94748
96,https://api.github.com/repos/uber/react-vis/pulls/1276,react-vis,93153.0,94748
97,https://api.github.com/repos/uber/react-vis/pulls/1253,react-vis,92156.0,94748
98,https://api.github.com/repos/uber/react-vis/pulls/1243,react-vis,92101.0,94748
99,https://api.github.com/repos/uber/react-vis/pulls/1224,react-vis,92143.0,94748
100,https://api.github.com/repos/uber/react-vis/pulls/1188,react-vis,,94748
101,https://api.github.com/repos/uber/react-vis/pulls/1152,react-vis,16636.0,94748
102,https://api.github.com/repos/uber/react-vis/pulls/1149,react-vis,16628.0,94748
103,https://api.github.com/repos/uber/react-vis/pulls/1096,react-vis,16437.0,94748
104,https://api.github.com/repos/uber/react-vis/pulls/1089,react-vis,16877.0,94748
105,https://api.github.com/repos/uber/react-vis/pulls/1079,react-vis,15808.0,94748
106,https://api.github.com/repos/uber/react-vis/pulls/1053,react-vis,16419.0,94748
107,https://api.github.com/repos/uber/react-vis/pulls/1028,react-vis,15975.0,94748
108,https://api.github.com/repos/uber/react-vis/pulls/1024,react-vis,17055.0,94748
109,https://api.github.com/repos/uber/react-vis/pulls/825,react-vis,,94748
110,https://api.github.com/repos/uber/uReplicator/pulls/352,uReplicator,2323.0,2349
111,https://api.github.com/repos/uber/uReplicator/pulls/346,uReplicator,2349.0,2349
112,https://api.github.com/repos/uber/uReplicator/pulls/343,uReplicator,2349.0,2349
113,https://api.github.com/repos/uber/uReplicator/pulls/341,uReplicator,2349.0,2349
114,https://api.github.com/repos/uber/uReplicator/pulls/340,uReplicator,2349.0,2349
115,https://api.github.com/repos/uber/uReplicator/pulls/332,uReplicator,2349.0,2349
116,https://api.github.com/repos/uber/uReplicator/pulls/318,uReplicator,2349.0,2349
117,https://api.github.com/repos/uber/uReplicator/pulls/300,uReplicator,2349.0,2349
118,https://api.github.com/repos/uber/react-vis-force/pulls/74,react-vis-force,2028.0,2021
119,https://api.github.com/repos/uber/react-vis-force/pulls/63,react-vis-force,2027.0,2021
120,https://api.github.com/repos/uber/react-vis-force/pulls/59,react-vis-force,2026.0,2021
121,https://api.github.com/repos/uber/react-vis-force/pulls/52,react-vis-force,2022.0,2021
122,https://api.github.com/repos/uber/react-digraph/pulls/331,react-digraph,28789.0,28771
123,https://api.github.com/repos/uber/react-digraph/pulls/328,react-digraph,28773.0,28771
124,https://api.github.com/repos/uber/react-digraph/pulls/322,react-digraph,28753.0,28771
125,https://api.github.com/repos/uber/react-digraph/pulls/299,react-digraph,28718.0,28771
126,https://api.github.com/repos/uber/react-digraph/pulls/280,react-digraph,28669.0,28771
127,https://api.github.com/repos/uber/react-digraph/pulls/244,react-digraph,,28771
128,https://api.github.com/repos/uber/AutoDispose/pulls/460,AutoDispose,13384.0,13382
129,https://api.github.com/repos/uber/dosa-idl/pulls/28,dosa-idl,298.0,298
130,https://api.github.com/repos/uber/pam-ussh/pulls/26,pam-ussh,20.0,21
131,https://api.github.com/repos/uber/pam-ussh/pulls/22,pam-ussh,31.0,21
132,https://api.github.com/repos/uber/pam-ussh/pulls/21,pam-ussh,31.0,21
133,https://api.github.com/repos/uber/pam-ussh/pulls/20,pam-ussh,31.0,21
134,https://api.github.com/repos/uber/pam-ussh/pulls/14,pam-ussh,24.0,21
135,https://api.github.com/repos/uber/pam-ussh/pulls/10,pam-ussh,20.0,21
136,https://api.github.com/repos/uber/cadence/pulls/4694,cadence,52963.0,53301
137,https://api.github.com/repos/uber/cadence/pulls/4688,cadence,50197.0,53301
